timestamp,customer_id,genre,age,annual_income,spending_score,type,model,screen_size,quantity,unit_price
2021-11-18 21:01:56,51,Female,49,42,52,laptop,ki2,17.0,1,230
2021-04-12 03:23:46,15,Male,37,20,13,laptop,ki2,12.0,4,1455
2021-07-11 11:40:06,192,Female,32,103,69,laptop,ki2,15.0,2,1159
2021-09-26 00:21:17,78,Male,40,54,48,laptop,c6,17.0,2,3727
2021-08-05 03:07:33,123,Female,40,69,58,laptop,qw2,17.0,5,4387
2021-06-28 23:01:30,163,Male,19,81,5,laptop,jl3,12.0,1,1619
2021-12-18 11:06:41,122,Female,38,67,40,laptop,ay9,15.0,5,2691
2021-02-07 10:24:53,193,Male,33,113,8,laptop,kz,12.0,3,2037
2021-10-27 11:38:28,153,Female,44,78,20,laptop,c6,17.0,4,4237
2021-03-05 09:25:54,92,Male,18,59,41,laptop,j3,14.0,1,4089
2021-12-09 23:19:21,67,Female,43,48,50,laptop,k12,17.0,5,3700
2021-01-10 01:11:15,175,Female,52,88,13,laptop,kz,12.0,5,4168
2021-09-15 08:36:45,92,Male,18,59,41,smart phone,bn20,6.5,4,4001
2021-05-24 00:14:21,27,Female,45,28,32,laptop,c6,12.0,4,2198
2021-05-12 20:17:35,68,Female,68,48,48,laptop,zeta,12.0,2,1956
2021-01-31 04:06:17,193,Male,33,113,8,laptop,j3,17.0,2,2657
2021-10-07 15:52:03,95,Female,32,60,42,television,jk23,48.0,4,1299
2021-11-03 13:36:22,74,Female,60,50,56,laptop,zeta,17.0,4,157
2021-10-29 07:45:53,17,Female,35,21,35,laptop,ki2,17.0,4,257
2021-05-06 12:31:07,141,Female,57,75,5,laptop,jl3,12.0,2,2463
2021-06-13 03:13:30,8,Female,23,18,94,smart phone,pk2,6.0,5,3527
2021-02-19 07:51:16,150,Male,34,78,90,laptop,ay9,17.0,4,2909
2021-07-19 02:00:10,188,Male,28,101,68,laptop,qw2,12.0,4,574
2021-06-22 17:10:21,62,Male,19,46,55,laptop,j3,15.0,4,2612
2021-06-03 09:32:29,191,Female,34,103,23,laptop,jl3,17.0,1,1884
2021-05-25 04:12:17,160,Female,30,78,73,laptop,qw2,14.0,2,366
2021-06-16 18:28:27,200,Male,30,137,83,laptop,c6,15.0,3,755
2021-06-26 12:50:46,132,Male,39,71,75,laptop,c6,15.0,4,621
2021-09-07 05:01:46,155,Female,47,78,16,laptop,ki2,17.0,5,2328
2021-01-19 19:58:02,140,Female,35,74,72,laptop,zeta,14.0,4,1292
2021-07-24 00:35:03,134,Female,31,72,71,laptop,ay9,12.0,3,3569
